Case ID,Title,Priority,Pre-conditions,Steps,Expected Result,Status,Platform,Build/Commit,Date,Evidence,Notes
AUTH-01,Login with valid credentials,P1,Local Supabase up; existing user; signed out,1. Open /login. 2. Enter valid email + password. 3. Tap Sign in.,Success banner; redirected to Settings; signed-in state persists on reload,Pass,Web,478b56d+ (stub-auth env),2026-09-17,PASS live: sign in as sigmundsarino@gmail.com -> POST /auth/v1/token?grant_type=password 200 (pinned id 16cdd861-...) -> redirected to /settings and the session key sb-localhost-auth-token was written; still signed in after reload.,"Executed against the QA auth stub (scripts/qa/supabase-stub.mjs, virtualized GoTrue on localhost:54321): the environment Supabase gateway is unreachable."
AUTH-02,Login with invalid password,P1,Supabase up; signed out,1. Enter valid email + wrong password. 2. Submit.,Error banner with Supabase message; no redirect; form stays filled,Pass,Web,478b56d+ (stub-auth env),2026-09-17,"PASS live: wrong password -> gateway 400 invalid_credentials -> inline ERROR ""Invalid login credentials"", URL stayed /login, both field values retained (read back from inputValue).","Executed against the QA auth stub (scripts/qa/supabase-stub.mjs, virtualized GoTrue on localhost:54321): the environment Supabase gateway is unreachable."
AUTH-03,Login with empty fields,P2,Supabase up; signed out,1. Tap Sign in with both fields empty.,Inline error 'Enter your email and password.'; no network call,Pass,Web,478b56d+ (stub-auth env),2026-09-17,"PASS live: fields explicitly cleared first (Chrome autofill had preloaded saved credentials, which produced a false FAIL on the first attempt) -> inline ERROR ""Enter your email and password."", URL unchanged, ZERO gateway calls (stub log 5 -> 5 lines).","Autofill contamination: clear + assert input values before acting on negative input cases. Executed against the QA auth stub (scripts/qa/supabase-stub.mjs, virtualized GoTrue on localhost:54321): the environment Supabase gateway is unreachable."
AUTH-04,Signup new account,P1,Supabase up; signed out,1. Open /signup. 2. Register new email + password. 3. Confirm.,Account created; signed in or verify-email notice per Supabase config; no crash,Pass,Web,478b56d+ (stub-auth env),2026-09-17,"PASS after fix: fresh signup -> POST /auth/v1/signup 200 -> app lands on /today with a live session, no crash. Before the fix it was a silent dead end: the gateway created the account and the app persisted the session, yet the form sat on /signup with no banner (the subtree remount on account-key change wiped the status) and nothing navigated.","DEF-013 fixed + verified live. Executed against the QA auth stub (scripts/qa/supabase-stub.mjs, virtualized GoTrue on localhost:54321): the environment Supabase gateway is unreachable."
AUTH-05,Signup duplicate email,P2,Supabase up; user exists,1. Sign up with existing email.,Clear error; no partial account state in app,Pass,Web,478b56d+ (stub-auth env),2026-09-17,"PASS live: duplicate email -> 400 user_already_exists -> inline ERROR ""User already registered""; stayed on /signup, no partial account state.","Executed against the QA auth stub (scripts/qa/supabase-stub.mjs, virtualized GoTrue on localhost:54321): the environment Supabase gateway is unreachable."
AUTH-06,Forgot password request,P2,Supabase up,1. Open /forgot-password. 2. Submit registered email.,Success notice; reset email generated per Supabase config,Pass,Web,478b56d+ (stub-auth env),2026-09-17,"PASS live: POST /auth/v1/recover?redirect_to=http://localhost:8081/update-password 200 -> SUCCESS ""Password reset email sent. Check your inbox to continue.""","Executed against the QA auth stub (scripts/qa/supabase-stub.mjs, virtualized GoTrue on localhost:54321): the environment Supabase gateway is unreachable."
AUTH-07,Update password via reset link,P2,Valid reset link available,1. Open /update-password from link. 2. Set new password. 3. Submit. 4. Log in with it.,Password updated; old password rejected; new password works,Pass,Web,478b56d+ (stub-auth env),2026-09-17,"PASS live: recovery deep link (#access_token=...&refresh_token=...&type=recovery) parsed by /update-password with no error banner -> PUT /auth/v1/user 200 -> landed on /settings. Gateway-side check: old password 400 invalid_credentials, new password 200.","Executed against the QA auth stub (scripts/qa/supabase-stub.mjs, virtualized GoTrue on localhost:54321): the environment Supabase gateway is unreachable."
AUTH-08,Logout,P1,Signed in,1. Settings > Account > Sign out.,Signed out; auth-gated routes redirect to login; local journal data intact for next sign-in,Pass,Web,478b56d+ (stub-auth env),2026-09-17,"PASS live: Settings > Account > Sign out -> auth screens, sb-localhost-auth-token removed, 183 account-scoped keys + 53 journal/memory keys still present (local journal data intact for the next sign-in).","Executed against the QA auth stub (scripts/qa/supabase-stub.mjs, virtualized GoTrue on localhost:54321): the environment Supabase gateway is unreachable."
AUTH-09,Session persists across reload,P1,Signed in,1. Reload the app (F5).,Still signed in; no login prompt; no flash of logged-out UI,Pass,Web,478b56d+ (stub-auth env),2026-09-17,"PASS live re-verified: reload while signed in -> still on /settings, no login prompt, no flash of signed-out UI.","Executed against the QA auth stub (scripts/qa/supabase-stub.mjs, virtualized GoTrue on localhost:54321): the environment Supabase gateway is unreachable."
AUTH-10,Auth screens both color schemes,P3,Signed out,1. View /login /signup /forgot-password in light. 2. Toggle to dark. 3. Compare vs concept images.,All text/inputs visible in both schemes; no stuck-black chrome; matches concepts,Pass,Web,478b56d+ (local stub gateway @localhost:54321),2026-09-17,"PASS: with `user-theme-preference=light` the auth screens render light chrome - <html> has no dark class and the covering surfaces are rgb(242,242,242) / rgb(244,241,235); with `dark` the class is applied and the surfaces are rgb(1,1,1) / rgb(12,12,14). Login + signup captured in both schemes (output/qa/AUTH10-{login,signup}-{light,dark}.png).","The app default preference is Dark (DEFAULT_SETTINGS_STATE), so a fresh profile shows dark until Appearance is changed - not a defect, but QA must set the preference before a light-mode capture (media emulation alone does nothing)."
