Case ID,Title,Priority,Pre-conditions,Steps,Expected Result,Status,Platform,Build/Commit,Date,Evidence,Notes
SETTINGS-01,Model provider config,P1,Settings open,1. Custom AI model section. 2. Set OmniRoute base URL + model. 3. Save.,Saved; chat uses configured model (verify a response); recentModelIds updated,Blocked,Web,1529-test build,2026-09-17,"Custom provider is intentionally Off (summary ""AI Model | Off""); switching it on would move chat off the doctrine-default tool-capable model so the end-to-end custom-model reply was not exercised. Config surface renders when expanded (base URL http://100.107.7.52:20128/v1 plus stored key and model list)",Chat transport itself is proven on the env OmniRoute path by JOURNAL-01/02/09. Follow-up: enable provider + send one message in a throwaway account
SETTINGS-02,freeOnly toggle,P3,Custom model config exists,1. Toggle freeOnly. 2. Observe model list/behavior.,Behavior matches toggle; saved after reload,Untested,Web,Pass,Web,1529-test build,2026-09-17
SETTINGS-03,Generation settings,P2,Settings open,1. Adjust generation settings (temperature/length if exposed). 2. Save.,Persist after reload; effect observable in replies if applicable,Untested,Web,Pass,Web,1529-test build,2026-09-17
SETTINGS-04,Clear all history,P1,Entries + digests + atoms + files + identity exist,1. Settings > Data management > Clear all history. 2. Confirm (web uses window.confirm).,Everything wiped: entries digests atoms files identity session digests rollups; app returns to clean state without crash,Pass,Web,478b56d+,2026-09-17,"PASS after the DEF-011 fix with all network blocked (offline): BEFORE entries 6 / atoms 14 / day digests 1866 B / identity 0 / sessions 0 -> AFTER 0 / 0 / 0 / 0 / 0, app still on its local account, dialog captured: 'Success - All history and related memories have been deleted.'",DEF-011 fixed + verified live. Local deletes now run before the (former) remote attempt and a lease abort is retried once; since 2026-09-18 there is no remote tier so the whole clear path is local.
SETTINGS-05,Seed demo data,P2,Cleared state,1. Settings > seed demo data.,Dev-only seed populates entries/check-ins; (production first launch stays empty — dev build only),Pass,Web,478b56d+,2026-09-17,"PASS: Seed demo data fills the active scope with an incremental seed record (this run: 6 entries + 14 atoms within 90s; earlier run: 5 entries, 6 check-ins, 11 goals).",DEF-003 closed. DEF-013 fixed 2026-09-18 (deterministic seed + "Seeding… n/25 rows" progress) - pending live re-test; case stays Pass per the 2026-09-17 run.
SETTINGS-06,Clear demo data,P2,Demo seed present,1. Settings > Clear demo data.,Ledger sessions + staged memory files removed; seed record removed; no unrecorded sources,Pass,Web,478b56d+,2026-09-17,After 365-bulk-probe seed (378 entries total): Clear demo data > confirm dialog > 20s later entries back to 13 (13 real/earlier entries kept), seed record removed. Write-ahead ledger discipline held (PROGRESS 2026-09-12 invariant intact)
SETTINGS-07,Create local backup,P1,Data exists,1. Settings > backup section > create backup.,Backup created; includes day digests + packed session-digest bundle; meta recorded,Pass,Web,478b56d+,2026-09-17,"PASS: Create local backup -> 'Latest: Backup 9/17/2026, 9:13:19 PM' + captured dialog 'Backup created - 3 local data groups saved on this device.'",User-visible confirmation now renders on web (was a silent Alert).
SETTINGS-08,Restore local backup,P1,Backup from SETTINGS-07,1. Wipe/clear data. 2. Restore backup.,Entries digests atoms return intact; atoms restored via importMemoryAtoms (fast batch not per-atom loop),Pass,Web,478b56d+,2026-09-17,"PASS after the DEF-012 fix with the gateway still dead: backup -> clear (0 entries/0 atoms) -> Restore latest backup -> entries 6, atoms 14, day digests 1866 B restored exactly; dialog 'Backup restored - 3 local data groups restored.'",DEF-012 fixed + verified live while auth was unreachable.
SETTINGS-09,Export journal JSON,P3,Entries exist,1. Settings > export.,JSON downloads; parses; contains entries with authored dates,Untested,Web,,,,
SETTINGS-10,About & privacy sections,P3,Settings open,1. Expand About + Privacy accordions.,Copy renders correctly both schemes; no truncation,Pass,Web,1529-test build,2026-09-17,"About row and Privacy row both render with summaries (""About | v0.0.1"" and ""Privacy Policy"") plus the About Blackrose entry; no truncation in light or dark. Body copy detail (app version + privacy text) is present at row level",Copy was not screenshot-diffed against a concept image - no concept PNG exists for the About screen
