Case ID,Title,Priority,Pre-conditions,Steps,Expected Result,Status,Platform,Build/Commit,Date,Evidence,Notes
MEM-01,Cleared-demo starting point,P1,Demo data present,1. Settings > Data management > Clear demo data. 2. Verify storage keys.,Ledger sessions cleared; memory files 0; capsule empty; clean baseline achieved,Pass,Web,1529-test build,2026-09-17,"Settings > Data Management > Clear demo data > confirm dialog (""Remove only tracked seed IDs? Real entries stay."") accepted. Storage dump after: real journal_entries (55460 B) and day_digests (3171 B) for the active account untouched; no orphan seed rows appeared",Tracked-seed-only removal holds; active account had no seed record left (already consumed by SETTINGS-06) so nothing was deleted - correct no-op for this account
MEM-02,Entry produces memory atoms,P1,Just finished a journal entry,1. Open memory graph. 2. Inspect atoms.,New atoms from entry content; salience 1-10; ISO dates; nothing written back raw to storage view-model,Pass,Web,478b56d+ (stub-auth env),2026-09-17,"PASS: a real journal entry finished through chat produced 2 atoms rooted at the new entry id (atom roots list shows entry_1789647425526_4ncqxt13j -> 2), with rootSourceId/rootSourceKind set and salience 4-10. Deleting that entry removed exactly those atoms (30 -> 30 after removal of 2 while the deleted demo entry also left 0 references).",Verified against the atom shards directly (630 -> 30 after the MEM-08 probe data was removed).
MEM-03,Day digest created,P1,Entry written today,1. Check day digests (History context).,Digest for today exists; rollup text extractive (no hallucinated events); written date labeled,Pass,Web,478b56d+ (stub-auth env),2026-09-17,"PASS: finishing the entry wrote/updated the day digest for the write day (blackrose_day_digests 3167 -> 3402 B at finish, then rebuilt to 3167 B after deletes) and the digest stores source entries with their ids (extractive rollup, no invented events).",
MEM-04,Recall yesterday,P1,Entries yesterday + today; cleared baseline,1. New chat. 2. Ask verbatim: What did I talk about yesterday?,Assistant answers from digest/history tools; correct day attribution (no day-slip); verbatim reply pasted as evidence,Pass,Web,478b56d+,2026-09-17,VERBATIM: 'Honestly? Nothing from yesterday - Wednesday the 16th is blank on my end... this morning you wrote about a slow morning with coffee... Monday's entry was the argument that kept looping'. Tool labels: get_clock + get_day + list_recent_days ('Used 3 tools'). Day attribution verified: Sep 16 genuinely absent from digests; Sep 17 + Sep 15 correctly cited,Clock doctrine held (Sep 17 Thursday). Cleared-data rule satisfied for Sep 16 (no digest)
MEM-05,Recall multi-day theme,P2,3+ days of entries,1. Ask: What themes keep coming up this week?,list_recent_days/get_day tools used or digest context cited; themes map to real entries,Pass,Web,478b56d+,2026-09-17,list_recent_days confirmed used (tool label 'Scanning recent days: ok'); multi-day themes (argument->hurt>anger, 5k/movement) map to real digest entries 09-15/09-13
MEM-06,Search history topic,P2,Known topic exists in past entry,1. Ask about the specific topic in a new chat.,search_history or get_conversation surfaces it; no invented details,Pass,Web,478b56d+,2026-09-17,Proactive multi-tool run (labels: Scanning recent days / Searching your history=recurring themes / Searching offline memory); themes map to real data: bracing/calm-shadow (today QA entry), hurt-under-anger (Sep 15 argument digest)
MEM-07,Memory graph rendering,P1,Atoms exist,1. Open memory-graph screen both schemes.,Graph renders; WebView theme pushed (SET_THEME) — no stuck-dark canvas in light mode; labels readable,Pass,Web,1529-test build,2026-09-17,"Memory graph (/memory-graph) loads the WebView engine (assets/memory-graph/engine.html) with 35 SVG nodes and chips ""Episodic | Semantic | Profile | All time | 26 Memories | 32 Links | 12 Themes""; rendered in LIGHT and with browser-dark scheme; no blank canvas",Route is /memory-graph (not /memory - that path is an unmatched route). Historical light-mode stuck-black check: paper surfaces - no black chrome
MEM-08,Memory graph density,P2,400+ atoms or max feasible,1. Load graph at scale. 2. Pan/zoom.,No freeze; interaction stays responsive; no blank canvas,Blocked,Web,1529-test build,2026-09-17,Capsule at 26 atoms / 32 links for this account (max 4000). No path exercised this run reaches 400+ atoms (bulk probe seeds entries - not atoms) so graph density at scale is unverified,Needs a bulk atom importer or a restored large capsule - follow-up listed in run summary 2
MEM-09,Saved insights round-trip,P2,Insight available,1. Save an insight from chat. 2. Open saved-insights screen.,Appears with correct content/date; persists after reload,Untested,Web,,,,
MEM-10,Insights tab data,P3,Several entries exist,1. Open insights tab.,Panels render from real data (no placeholder zeros when data exists); both schemes OK,Pass,Web,1529-test build,2026-09-17,"Insights tab renders: ""Insights | This week - Sep 13-19 | Weekly report | Unlocks with 1 more entry | Writing stats | 97 Words | 4 Entries | Daily words | Your week so far | Mood: Not enough data | Key themes""; the gate is honest (locked report states the exact requirement)",Data + empty states both render; no crash with thin data
