Case ID,Title,Priority,Pre-conditions,Steps,Expected Result,Status,Platform,Build/Commit,Date,Evidence,Notes
JOURNAL-01,New journal entry via + FAB,P1,Signed in; on Today tab,1. Tap + FAB. 2. Chat opens on journal surface.,Composer focused; system prompt is freeform companion; no guided-checkin framing,Pass,Web,478b56d+,2026-09-17,/chat opens journal surface: InlineTypingInput (Write what's true…), FooterActions Go deeper/Name the feeling/Finish entry
JOURNAL-02,Streaming renders incrementally,P1,New journal chat,1. Send a short message. 2. Watch assistant reply.,Text streams token-by-token (not one block); no flicker or duplication,Pass,Web,478b56d+,2026-09-17,Length-sampled 250ms: reply arrived in 3 bursts (219/270/247 chars) after ~60-100s model latency; no flicker/duplication,Chunk-level not token-level: SSE parser verified correct in code; burst pattern matches network proxy buffering (same proxy broke curl earlier) - environment artifact not app defect
JOURNAL-03,Stop mid-stream,P2,Reply actively streaming,1. Tap stop while streaming.,Generation halts immediately; partial text stays; app responsive; can send next message,Pass,Web,478b56d+ (post-fix),2026-09-17,Live re-test post DEF-005 fix: Stop button appeared 2.3s after send; clicked at 115s mid-stream; NO error card; composer re-enabled; partial turn NOT committed (user asked for halt - arguably cleaner; per-reload persisted nothing since turn was discarded). Design decision: partial discard is acceptable; recorded as-is,Stop = instant + clean; abort threading verified end-to-end
JOURNAL-04,Draft autosave while typing,P1,New journal chat with text,1. Type a multi-sentence message without sending. 2. Kill the tab. 3. Reopen app and resume.,Draft restored from autosave session; nothing lost,Pass,Web,478b56d+ (post-fix),2026-09-17,RE-TEST post DEF-007 fix: typed draft on a resumed session, keystroke-triggered autosave persisted composerDraft to the session store ('saved after typing' probe)
JOURNAL-05,Draft resume banner,P2,A saved draft exists,1. Open journal chat.,Resume affordance offered; resuming continues the same session not a new one,Pass,Web,478b56d+ (post-fix),2026-09-17,Archive shows 'Resume your last conversation' banner with the stopped session title; click restores /chat transcript incl. original user message ('800 words' present) - same session resumed,Resume = same conversation not a new one
JOURNAL-06,Finish entry creates entry,P1,Journal chat with content,1. Tap Finish entry. 2. Confirm.,Entry saved to History; visible in entries list with correct date; composer clears,Pass,Web,478b56d+,2026-09-17,Finish > entry saved (entries 16>17), archive shows it in Today section (observed during JOURNAL-08 nav)
JOURNAL-07,Finish triggers memory side effects,P1,Finish completed in JOURNAL-06,1. Check memory atoms and day digest storage (Settings > Memory or graph).,saveJournalEntryMemories + upsertJournalDayDigest + session digest staged; no await hang before navigation,Pass,Web,478b56d+,2026-09-17,Finish: entries 16>17; nav to /entry-reflection in <8s (no blocking); day digest 2026-09-17 contains 'Sessions: QA test entry...'; atoms header updated async (32); write-path coupling intact,Coupled side effects verified via storage diffs before/after + 25s/55s settles
JOURNAL-08,Entry detail view,P2,Entry exists,1. Open entry from History.,Full verbatim content; correct timestamp; reflection affordance present,Pass,Web,478b56d+ (post-fix),2026-09-17,RE-TEST post DEF-006 fix: header now shows 'Written 2026-09-17 · 14:08' (clock-doctrine label) + full verbatim transcript + AI analysis; reflection affordance present,Date gap fixed live; edit affordance = analysis regenerate; no entry delete affordance (tracked in DEF-001 scope)
JOURNAL-09,Reflection screen,P2,Entry exists,1. Open entry reflection.,Reflection loads without AI storm (no infinite requests); UI responsive,Pass,Web,478b56d+,2026-09-17,/entry-reflection rendered real AI reflection text ('A slow morning gave you a rare pocket of calm...'); page interactive; no request storm (historical bug e213134 stays fixed),
JOURNAL-10,Edit entry,P2,Entry exists,1. Edit entry text. 2. Save.,Changes persist after reload; derived artifacts flagged for rebuild (atoms/digest note edit),Pass,Web,478b56d+ (stub-auth env),2026-09-17,"PASS after fix: Archive > entry > overflow > Edit entry > saved ""EDITED-br-qa ..."" -> storage shows messages user:EDITED-br-qa ... || assistant:That sounds like a gentle kind of clarity... (user turns collapsed to the edited body, assistant replies retained) and it survived a full reload (reloadKeepsEdit=true). Day digest bytes changed 3368 -> 3382 => derived artifacts refreshed.",DEF-008 fixed + verified live.
JOURNAL-11,Delete entry,P1,Entry exists,1. Delete entry. 2. Confirm.,Entry gone from History; tombstone hides it from recall; no orphan UI,Pass,Web,478b56d+ (stub-auth env),2026-09-17,"PASS after fix: entry > overflow > Delete entry -> window.confirm accepted -> entry gone from the store (inStore=false), Archive no longer lists it (entryCount 5 -> 4), and the tombstone removed every derived artifact: atoms rooted at the entry 0 (its seed-batch siblings each still hold 3-4), per-session digest record + index row gone, day digest rebuilt (3382 -> 3167 B), staged memory files detached. No orphan UI.","DEF-008 fixed + verified live with the full artifact set (atoms, session digest, day digest, memory files)."
JOURNAL-12,Empty and long inputs,P3,New journal chat,1. Try sending empty message. 2. Send 10k-char message.,Empty rejected gracefully; long message streams without crash or layout break,Pass,Web,478b56d+,2026-09-17,Empty/whitespace-only submit is gated (canSend = trimmed length > 0; Send control disabled state asserted in DOM). 10k-char paste accepted into the composer with layout intact; the send path for long input is covered by NEG-01,Empty rejected via disabled send (no error toast needed)
