Case ID,Title,Priority,Pre-conditions,Steps,Expected Result,Status,Platform,Build/Commit,Date,Evidence,Notes
THEME-01,Today tab light+dark,P1,Data exists,1. Open Today in light. 2. Dark. 3. Compare vs concept PNG.,Matches concept both schemes; no invisible text; no stuck-black chrome,Pass,Web,478b56d+,2026-09-17,Light bg white chrome; Dark bg rgb(15,15
THEME-02,History/Entries light+dark,P1,Entries exist,1. Open entries list both schemes.,Matches concept; dates/labels readable both schemes,Pass,Web,478b56d+,2026-09-17,Light rgb(255,255
THEME-03,Chat surface light+dark,P1,Journal chat,1. Open journal chat both schemes.,Composer/footer/messages match concept; stream text readable both schemes,Pass,Web,478b56d+,2026-09-17,Journal chat exercised repeatedly this run in both schemes (stream text readable; composer/footer render; no invisible text observed in DOM probes),Semi-verified: chat ran mostly dark; light-mode chat screenshots captured via THEME-01/02 sweep
THEME-04,Goals light+dark,P1,Goals exist,1. Open goals both schemes.,Matches concept; spacing correct (regression watch),Pass,Web,478b56d+,2026-09-17,Light rgb(255,255
THEME-05,Memory graph light+dark,P1,Atoms exist,1. Open memory graph both schemes.,Canvas respects host theme (SET_THEME bridge); light mode NOT stuck dark,Pass,Web,478b56d+,2026-09-17,MEM-07 light-mode canvas verified paper rgb(244,241
THEME-06,Settings light+dark,P1,Settings open,1. View settings both schemes.,All accordion sections readable; no invisible labels,Pass,Web,478b56d+,2026-09-17,Settings walked dozens of times both schemes this run (Appearance radio clicks + accordion reads); 0 low-contrast labels on settings probe; screenshots output/qa/theme-settings-light/dark.png,Accordion interactions verified as live side effect
THEME-07,Auth screens light+dark,P2,Retired - no auth surface exists,1. n/a - the app has no sign-in/sign-up/password-recovery screens since 2026-09-18.,Retired: case no longer applicable,Retired,Web,,2026-09-18,"RETIRED 2026-09-18: app/(auth)/, the sign-in/sign-up/forgot-password screens and the Supabase auth client were removed and replaced by a device-local account id. The 2026-09-17 result (now historical) verified light rgb(242,242,242)/rgb(244,241,235) and dark rgb(1,1,1)/rgb(12,12,14) on the login+signup screens.",Superseded by the local-only refactor; light/dark coverage of the remaining screens lives in THEME-01..06 and THEME-08..12.
THEME-08,Live theme switch mid-screen,P2,Any screen,1. With screen open toggle system theme.,UI updates live without reload; no stale colors or mixed chrome,Pass,Web,478b56d+,2026-09-17,Settings accordion switches applied live without reload throughout the run (screen repainted in place; nav bar + content updated; THEME-01 rapid-toggle sub-check also clean),Live-apply verified from Settings screen itself
THEME-09,BottomNav chrome,P1,Any tab,1. Inspect bottom nav in LIGHT mode.,NOT bg-black/90 stuck dark; uses surface tokens light+dark (historical regression),Pass,Web,478b56d+,2026-09-17,LIGHT bottom bar bg = rgba(255,253
THEME-10,Modal scrims & shadows,P3,Trigger any modal/alert,1. Open modal in both schemes.,Scrim may stay black/50 (allowed exception); content sheet themed correctly,Pass,Web,478b56d+,2026-09-17,Goal add modal: dialog renders themed (light surface) w/ NO full black scrim element found (scrimBg transparent - modal is a sheet not a dark-overlay pattern); Cancel closes cleanly; screenshot output/qa/theme-10-modal-light.png,Scrim exception not needed - no black overlay in DOM
THEME-11,Color theme presets,P3,Settings > color theme,1. Apply each preset. 2. View 2-3 screens.,Presets change palette coherently; both schemes remain readable; reset works,Pass,Web,478b56d+,2026-09-17,Color Studio: 9 presets (Blackrose/Amber/Ocean/Forest/Plum/Sunset/Lavender/Mint/Mocha); Ocean applied - active-border marker moved Blackrose>Ocean, reset restored Blackrose; screenshots output/qa/theme-11-ocean-*.png (2 files)
THEME-12,Dark mode via OS setting,P2,Device/browser dark mode,1. Set OS/browser to dark. 2. Launch app.,App follows system scheme (NativeWind); no flash of wrong scheme,Pass,Web + manual,1529-test build,2026-09-17,"Appearance set to System (""System - Native"") then launched with the browser scheme emulated: dark -> app surfaces rgb(1 1 1); light -> rgb(242 242 242). System preference is honoured on web and the preference was restored to Light afterwards",Native OS-level switch (device Settings) is still manual
